store_name,store_number,jsocver,RHEL_version,bridge_count,progressrjbridge_GB,retailjstaticdata_UK,commonutilities_GB,callcentreinstore_GB,storeserver_GB,storeprogresscode_GB,socrates_GB,rjsoabridge_GB,socratesContainer ,socratesBroker ,ccApp ,sgmb ,mysqld ,backoffice ,httpd ,progress_to_rj_bridge ,rj_to_soa_bridge ,Deployment_type,Store_type
Farlington Sainsburys Store,1347,D2.4.68,RHEL_ 6.6,0,1.0.87,1.13.25,1.0.87,1.0.87,1.5.83,1.4.18,1.0.87,1.0.87,Running ,Running ,Running ,Running ,Running ,Running ,Running ,Running ,Running ,Pilot 1,Live 
Romsey Store,1973,D2.4.68,RHEL_ 6.0,0,1.0.87,1.13.25,1.0.87,1.0.87,1.5.83,1.4.18,1.0.87,1.0.87,Running ,Running ,Running ,Running ,Running ,Running ,Running ,Running ,Running ,Pilot 1,Live 
Nottingham City Centre Store,40,D2.4.68,RHEL_ 6.0,0,1.0.87,1.13.25,1.0.87,1.0.87,1.5.83,1.4.18,1.0.87,1.0.87,Running ,Running ,Running ,Running ,Running ,Running ,Running ,Running ,Running ,Pilot 2,Live 
Birmingham Central Store,176,D2.4.68,RHEL_ 6.0,0,1.0.87,1.13.25,1.0.87,1.0.87,1.5.83,1.4.18,1.0.87,1.0.87,Running ,Running ,Running ,Running ,Running ,Running ,Running ,Running ,Running ,Pilot 2,Live 
Caerphilly Store,267,D2.4.68,RHEL_ 6.6,0,1.0.87,1.13.25,1.0.87,1.0.87,1.5.83,1.4.18,1.0.87,1.0.87,Running ,Running ,Running ,Running ,Running ,Running ,Running ,Running ,Running ,Pilot 2,Live 
Kendal Mint Bridge,1343,D2.4.68,RHEL_ 6.6,0,1.0.87,1.13.25,1.0.87,1.0.87,1.5.83,1.4.18,1.0.87,1.0.87,Running ,Running ,Running ,Running ,Running ,Running ,Running ,Running ,Running ,Pilot 2,Live 
Lower Earley 2,1528,D2.4.68,RHEL_ 6.0,0,1.0.87,1.13.25,1.0.87,1.0.87,1.5.83,1.4.18,1.0.87,1.0.87,Running ,Running ,Running ,Running ,Running ,Running ,Running ,Running ,Running ,Pilot 2,Live 
Dumfries,344,D2.4.68,RHEL_ 6.6,0,1.0.87,1.13.25,1.0.87,1.0.87,1.5.83,1.4.18,1.0.87,1.0.87,Running ,Running ,Running ,Running ,Running ,Running ,Running ,Running ,Running ,Pilot 2,Live 
Enniskillen,452,D2.4.68,RHEL_ 6.6,0,1.0.87,1.13.25,1.0.87,1.0.87,1.5.83,1.4.18,1.0.87,1.0.87,Running ,Running ,Running ,Running ,Running ,Running ,Running ,Running ,Running ,Pilot 2,Live 
Grimsby,120,D2.4.68,RHEL_ 6.6,0,1.0.87,1.13.25,1.0.87,1.0.87,1.5.83,1.4.18,1.0.87,1.0.87,Running ,Running ,Running ,Running ,Running ,Running ,Running ,Running ,Running ,Pilot 2,Live 
 Bicester,404,D2.4.68,RHEL_ 6.6,0,1.0.87,1.13.25,1.0.87,1.0.87,1.5.83,1.4.18,1.0.87,1.0.87,Running ,Running ,Running ,Running ,Running ,Running ,Running ,Running ,Running ,Pilot 2,Live 
